Competition,Team 1,Team 2,Result,Round,Year,Date
Copa do Brasil,Sergipe / SE,Náutico / PE,1 x 0,3,2014
Copa do Brasil,Boavista / RJ,América / RN,1 x 2,3,2014
Copa do Brasil,Bahia de Feira / BA,Corinthians / SP,0 x 2,3,2014
Copa do Brasil,Sao Luiz / RS,Nacional / AM,2 x 2,3,2014
Copa do Brasil,Villa Nova / MG,Bahia / BA,1 x 1,3,2014
Copa do Brasil,Santos / AP,América / MG,0 x 3,3,2014
Copa do Brasil,Botafogo / PB,Goiás / GO,2 x 0,3,2014
Copa do Brasil,Lagarto / SE,Santa Cruz / PE,0 x 1,3,2014
Copa do Brasil,Potiguar / RN,Portuguesa / SP,1 x 0,3,2014
Copa do Brasil,Santa Rita / AL,Guarani / SP,0 x 0,3,2014
Copa do Brasil,São Paulo / SP, ALSão Paulo / SP,0 x 1,4,2014
Copa do Brasil,Plácido de Castro / AC,Figueirense / SC,0 x 0,4,2014
Copa do Brasil,Lajeadense / RS,Bragantino / SP,0 x 0,4,2014
Copa do Brasil,Cene / MS,Coritiba / PR,2 x 2,4,2014
Copa do Brasil,Caldense / MG,Duque de Caxias / RJ,2 x 0,4,2014
Copa do Brasil,Brasília / DF,Sport / PE,1 x 3,4,2014
Copa do Brasil,Maranhão / MA,Paysandu / PA,2 x 2,4,2014
Copa do Brasil,Remo / PA,Internacional / RS,1 x 6,4,2014
Copa do Brasil,Barbalha / CE,Cuiabá / MT,0 x 0,4,2014
Copa do Brasil,Parnahyba / PI,Ceará / CE,0 x 1,5,2014
Copa do Brasil,Rio Branco / AC,Chapecoense / SC,0 x 2,5,2014
Copa do Brasil,Vasco da Gama / RJ,Resende / RJ,1 x 0,5,2014
Copa do Brasil,Treze / PB,Tombense / MG,2 x 1,5,2014
Copa do Brasil,Paraná / PR,Sao Bernardo / SP,3 x 1,5,2014
Copa do Brasil,Vitória / BA, Malucelli / PR,3 x 5,5,2014
Copa do Brasil,Joinville / SC,Novo Hamburgo / RS,2 x 2,5,2014
Copa do Brasil,Atlético / GO,Flamengo / PI,2 x 2,5,2014
Copa do Brasil,Abc / RN,Desportiva / ES,4 x 1,5,2014
Copa do Brasil,Santos / SP,Mixto / MT,3 x 0,6,2014
Copa do Brasil,Brasiliense / DF,Princesa do Solimões / AM,4 x 2,6,2014
Copa do Brasil,Criciúma / SC,Londrina / PR,2 x 1,6,2014
Copa do Brasil,Grêmio Barueri / SP,Goianesia / GO,0 x 0,6,2014
Copa do Brasil,Palmeiras / SP,Vilhena / RO,2 x 0,6,2014
Copa do Brasil,Sampaio Correa / MA,Interporto / TO,3 x 1,6,2014
Copa do Brasil,Fluminense / RJ,Horizonte / CE,5 x 0,6,2014
Copa do Brasil,Náutico / PE,Sergipe / SE,3 x 1,7,2014
Copa do Brasil,América / RN,Boavista / RJ,2 x 0,7,2014
Copa do Brasil,Nacional / AM,Sao Luiz / RS,2 x 1,7,2014
Copa do Brasil,Bahia / BA,Villa Nova / MG,2 x 0,7,2014
Copa do Brasil,Goiás / GO,Botafogo / PB,0 x 0,7,2014
Copa do Brasil,Santa Cruz / PE,Lagarto / SE,3 x 1,7,2014
Copa do Brasil,Portuguesa / SP,Potiguar / RN,2 x 1,7,2014
Copa do Brasil,Guarani / SP,Santa Rita / AL,1 x 2,7,2014
Copa do Brasil,Figueirense / SC,Plácido de Castro / AC,3 x 1,8,2014
Copa do Brasil,Bragantino / SP,Lajeadense / RS,1 x 0,8,2014
Copa do Brasil,Coritiba / PR,Cene / MS,2 x 0,8,2014
