Competition,Team 1,Team 2,Result,Round,Year,Date
Serie B,Boa / MG,Icasa / CE,1 x 0,14,2013,09/08/2013
Serie B,Figueirense / SC,Avaí / SC,1 x 3,14,2013,10/08/2013
Serie B,Chapecoense / SC,Guaratinguetá / SP,1 x 0,14,2013
Serie B,Ceará / CE,Atlético / GO,0 x 1,14,2013,09/08/2013
Serie B,Palmeiras / SP,Paraná / PR,2 x 1,14,2013,10/08/2013
Serie B,São Caetano / SP,Sport / PE,2 x 1,14,2013,10/08/2013
Serie B,Bragantino / SP,Oeste / SP,2 x 0,14,2013,10/08/2013
Serie B,Paysandu / PA,Joinville / SC,2 x 1,14,2013
Serie B,Oeste / SP,Paysandu / PA,1 x 0,15,2013,13/08/2013
Serie B,América / MG,São Caetano / SP,2 x 1,15,2013,13/08/2013
Serie B,Joinville / SC,Palmeiras / SP,0 x 1,15,2013
Serie B,América / RN,Chapecoense / SC,0 x 1,15,2013,27/08/2013
Serie B,Paraná / PR,Boa / MG,3 x 1,15,2013,13/08/2013
Serie B,Atlético / GO,Bragantino / SP,0 x 1,15,2013,13/08/2013
Serie B,Guaratinguetá / SP,Figueirense / SC,1 x 1,15,2013,14/08/2013
Serie B,Sport / PE,Ceará / CE,2 x 1,15,2013,13/08/2013
Serie B,Oeste / SP,Joinville / SC,0 x 2,16,2013,16/08/2013
Serie B,América / MG,América / RN,1 x 1,16,2013,17/08/2013
Serie B,Avaí / SC,Ceará / CE,1 x 1,16,2013,16/08/2013
Serie B,Chapecoense / SC,Paraná / PR,2 x 2,16,2013,17/08/2013
Serie B,Icasa / CE,Bragantino / SP,4 x 1,16,2013,17/08/2013
Serie B,Palmeiras / SP,Paysandu / PA,3 x 2,16,2013,17/08/2013
Serie B,São Caetano / SP,Boa / MG,0 x 1,16,2013,16/08/2013
Serie B,Sport / PE,Atlético / GO,3 x 2,16,2013,16/08/2013
Serie B,Boa / MG,Palmeiras / SP,1 x 0,17,2013,24/08/2013
Serie B,Figueirense / SC,Oeste / SP,3 x 0,17,2013,24/08/2013
Serie B,Joinville / SC,São Caetano / SP,1 x 0,17,2013,23/08/2013
Serie B,Ceará / CE,Guaratinguetá / SP,2 x 0,17,2013,20/08/2013
Serie B,América / RN,Avaí / SC,2 x 3,17,2013
Serie B,Paraná / PR,Sport / PE,1 x 0,17,2013,24/08/2013
Serie B,Atlético / GO,América / MG,1 x 1,17,2013,24/08/2013
Serie B,Bragantino / SP,Chapecoense / SC,1 x 0,17,2013,24/08/2013
Serie B,Paysandu / PA,Icasa / CE,1 x 2,17,2013,24/08/2013
Serie B, X Figueirense / SC,Figueirense / SC,3 x 1,18,2013,27/08/2013
Serie B,América / MG,Joinville / SC,0 x 2,18,2013,27/08/2013
Serie B,Chapecoense / SC,Icasa / CE,1 x 2,18,2013,31/08/2013
Serie B,Ceará / CE,Palmeiras / SP,2 x 2,18,2013,31/08/2013
Serie B,América / RN,São Caetano / SP,2 x 1,18,2013,31/08/2013
Serie B,Paraná / PR,Guaratinguetá / SP,4 x 0,18,2013
Serie B,Atlético / GO,Oeste / SP,4 x 0,18,2013
Serie B,Bragantino / SP,Paysandu / PA,0 x 0,18,2013,31/08/2013
Serie B,Sport / PE,Boa / MG,2 x 2,18,2013,31/08/2013
Serie B,Oeste / SP,América / RN,4 x 1,19,2013,03/09/2013
Serie B,Boa / MG,Avaí / SC,0 x 0,19,2013,03/09/2013
Serie B,Figueirense / SC,Bragantino / SP,2 x 1,19,2013,03/09/2013
Serie B,Joinville / SC,Ceará / CE,1 x 1,19,2013,03/09/2013
Serie B,Icasa / CE,Paraná / PR,0 x 3,19,2013,03/09/2013
Serie B,Palmeiras / SP,Chapecoense / SC,0 x 0,19,2013,03/09/2013
Serie B,Guaratinguetá / SP,Atlético / GO,2 x 0,19,2013,03/09/2013
Serie B,Paysandu / PA,Sport / PE,2 x 0,19,2013,03/09/2013
Serie B, X Paysandu / PA,Paysandu / PA,1 x 1,20,2013,06/09/2013
Serie B,América / MG,Guaratinguetá / SP,1 x 0,20,2013,06/09/2013
Serie B,Avaí / SC,Oeste / SP,2 x 2,20,2013,06/09/2013
Serie B,Chapecoense / SC,Boa / MG,1 x 0,20,2013,06/09/2013
Serie B,Ceará / CE,São Caetano / SP,4 x 2,20,2013,06/09/2013
Serie B,América / RN,Figueirense / SC,2 x 0,20,2013,06/09/2013
Serie B,Atlético / GO,Palmeiras / SP,1 x 3,20,2013,07/09/2013
Serie B,Bragantino / SP,Joinville / SC,1 x 2,20,2013,06/09/2013
Serie B,Sport / PE,Icasa / CE,0 x 2,20,2013,07/09/2013
Serie B,Oeste / SP,Chapecoense / SC,1 x 0,21,2013,10/09/2013
Serie B,Boa / MG,Bragantino / SP,0 x 0,21,2013
Serie B,Figueirense / SC,América / MG,1 x 2,21,2013,09/09/2013
Serie B,Joinville / SC,Atlético / GO,2 x 1,21,2013,10/09/2013
Serie B,Icasa / CE,América / RN,1 x 1,21,2013,10/09/2013
Serie B, X Sport / PE,Sport / PE,4 x 2,21,2013,10/09/2013
Serie B,São Caetano / SP,Paraná / PR,2 x 1,21,2013,10/09/2013
Serie B,Guaratinguetá / SP,Avaí / SC,1 x 0,21,2013,10/09/2013
Serie B,Paysandu / PA,Ceará / CE,2 x 1,21,2013,10/09/2013
Serie B, X Joinville / SC,Joinville / SC,0 x 1,22,2013,13/09/2013
Serie B,América / MG,Palmeiras / SP,1 x 1,22,2013,14/09/2013
Serie B,Avaí / SC,Icasa / CE,3 x 1,22,2013,14/09/2013
Serie B,Chapecoense / SC,São Caetano / SP,6 x 2,22,2013,13/09/2013
Serie B,América / RN,Paysandu / PA,3 x 0,22,2013,14/09/2013
Serie B,Paraná / PR,Oeste / SP,1 x 2,22,2013,13/09/2013
Serie B,Atlético / GO,Boa / MG,3 x 1,22,2013,13/09/2013
Serie B,Guaratinguetá / SP,Bragantino / SP,1 x 0,22,2013,14/09/2013
Serie B,Sport / PE,Figueirense / SC,1 x 0,22,2013,14/09/2013
Serie B,América / MG,Icasa / CE,1 x 2,23,2013
Serie B,Avaí / SC,Palmeiras / SP,2 x 4,23,2013,17/09/2013
Serie B,Chapecoense / SC,Figueirense / SC,1 x 1,23,2013
Serie B,Ceará / CE,Oeste / SP,1 x 0,23,2013,17/09/2013
Serie B,América / RN,Joinville / SC,1 x 1,23,2013,17/09/2013
Serie B,Paraná / PR,Paysandu / PA,3 x 1,23,2013,17/09/2013
Serie B,Atlético / GO,São Caetano / SP,1 x 1,23,2013,17/09/2013
Serie B,Sport / PE,Guaratinguetá / SP,1 x 0,23,2013,17/09/2013
Serie B,Oeste / SP,América / MG,1 x 1,24,2013,20/09/2013
Serie B,Boa / MG,Ceará / CE,1 x 2,24,2013,21/09/2013
Serie B,Figueirense / SC,Paraná / PR,1 x 0,24,2013,21/09/2013
Serie B,Joinville / SC,Avaí / SC,1 x 2,24,2013,20/09/2013
Serie B,Palmeiras / SP,Sport / PE,2 x 1,24,2013
Serie B,São Caetano / SP,Bragantino / SP,0 x 1,24,2013,20/09/2013
Serie B,Guaratinguetá / SP,América / RN,2 x 0,24,2013,21/09/2013
Serie B,Paysandu / PA,Atlético / GO,0 x 0,24,2013,21/09/2013
Serie B,América / MG,Avaí / SC,0 x 0,25,2013,28/09/2013
Serie B,Figueirense / SC,Ceará / CE,2 x 1,25,2013,24/09/2013
Serie B,Joinville / SC,Guaratinguetá / SP,1 x 1,25,2013
Serie B,Icasa / CE,Atlético / GO,0 x 0,25,2013,28/09/2013
Serie B, X Boa / MG,Boa / MG,3 x 1,25,2013,28/09/2013
Serie B,Palmeiras / SP,América / RN,0 x 0,25,2013,28/09/2013
Serie B,São Caetano / SP,Oeste / SP,2 x 2,25,2013,27/09/2013
Serie B,Bragantino / SP,Sport / PE,1 x 2,25,2013,28/09/2013
Serie B,Paysandu / PA,Chapecoense / SC,2 x 1,25,2013,24/09/2013
Serie B,Oeste / SP,Palmeiras / SP,0 x 2,26,2013
Serie B,Boa / MG,Figueirense / SC,0 x 2,26,2013
Serie B,Avaí / SC,São Caetano / SP,2 x 1,26,2013,01/10/2013
Serie B,Ceará / CE,Icasa / CE,1 x 0,26,2013,01/10/2013
Serie B,América / RN,Bragantino / SP,0 x 2,26,2013
Serie B,Paraná / PR,América / MG,0 x 1,26,2013,01/10/2013
Serie B,Guaratinguetá / SP,Paysandu / PA,1 x 1,26,2013,01/10/2013
Serie B,Sport / PE,Joinville / SC,3 x 2,26,2013,01/10/2013
Serie B,Boa / MG,Oeste / SP,0 x 4,27,2013,04/10/2013
Serie B,Figueirense / SC,Atlético / GO,1 x 1,27,2013
Serie B,Chapecoense / SC,Joinville / SC,2 x 1,27,2013,05/10/2013
Serie B,Icasa / CE,Guaratinguetá / SP,3 x 2,27,2013,04/10/2013
Serie B,Paraná / PR,Avaí / SC,0 x 1,27,2013
Serie B,São Caetano / SP,Paysandu / PA,3 x 1,27,2013,05/10/2013
Serie B,Bragantino / SP,América / MG,0 x 1,27,2013,05/10/2013
Serie B,Sport / PE,América / RN,3 x 0,27,2013,04/10/2013
Serie B,Oeste / SP,Icasa / CE,0 x 0,28,2013,08/10/2013
Serie B,América / MG,Chapecoense / SC,1 x 1,28,2013
Serie B,Avaí / SC,Sport / PE,1 x 0,28,2013
Serie B,Ceará / CE,Bragantino / SP,5 x 3,28,2013,08/10/2013
Serie B,América / RN,Paraná / PR,4 x 1,28,2013,08/10/2013
Serie B,Palmeiras / SP,Figueirense / SC,4 x 0,28,2013
Serie B,Guaratinguetá / SP,São Caetano / SP,3 x 2,28,2013,08/10/2013
Serie B,Paysandu / PA,Boa / MG,0 x 0,28,2013,08/10/2013
Serie B,Oeste / SP,Sport / PE,0 x 3,29,2013
Serie B,América / MG,Boa / MG,0 x 0,29,2013
Serie B,Avaí / SC,Chapecoense / SC,1 x 2,29,2013
Serie B,Joinville / SC,Icasa / CE,0 x 0,29,2013
Serie B,Ceará / CE,Paraná / PR,1 x 1,29,2013
Serie B,América / RN,Atlético / GO,2 x 1,29,2013
Serie B,Palmeiras / SP,Guaratinguetá / SP,1 x 0,29,2013
Serie B,São Caetano / SP,Figueirense / SC,0 x 2,29,2013
Serie B,Boa / MG,Joinville / SC,1 x 0,30,2013
Serie B,Figueirense / SC,Paysandu / PA,3 x 2,30,2013
Serie B,Chapecoense / SC,Ceará / CE,1 x 1,30,2013
Serie B,Icasa / CE,Palmeiras / SP,1 x 0,30,2013
Serie B,Paraná / PR,Bragantino / SP,1 x 0,30,2013
Serie B,Atlético / GO,Avaí / SC,2 x 1,30,2013
Serie B,Guaratinguetá / SP,Oeste / SP,0 x 0,30,2013
Serie B,Sport / PE,América / MG,1 x 3,30,2013
Serie B,Boa / MG,América / RN,3 x 2,31,2013
Serie B,Figueirense / SC,Joinville / SC,0 x 1,31,2013
Serie B,Chapecoense / SC,Sport / PE,0 x 0,31,2013
Serie B,Ceará / CE,América / MG,1 x 1,31,2013
Serie B,Paraná / PR,Atlético / GO,1 x 1,31,2013
Serie B,São Caetano / SP,Icasa / CE,2 x 1,31,2013
Serie B,Bragantino / SP,Palmeiras / SP,0 x 2,31,2013
Serie B,Paysandu / PA,Avaí / SC,0 x 2,31,2013
Serie B,América / MG,Paysandu / PA,0 x 1,32,2013
Serie B,Avaí / SC,Bragantino / SP,3 x 0,32,2013
Serie B,Joinville / SC,Paraná / PR,1 x 0,32,2013
Serie B,Icasa / CE,Figueirense / SC,1 x 0,32,2013
Serie B,América / RN,Ceará / CE,1 x 0,32,2013
Serie B,Palmeiras / SP,São Caetano / SP,0 x 0,32,2013
Serie B,Atlético / GO,Chapecoense / SC,0 x 0,32,2013
Serie B,Guaratinguetá / SP,Boa / MG,0 x 0,32,2013
Serie B,Oeste / SP,Bragantino / SP,2 x 0,33,2013
Serie B,Avaí / SC,Figueirense / SC,0 x 4,33,2013
Serie B,Joinville / SC,Paysandu / PA,4 x 2,33,2013
Serie B,Icasa / CE,Boa / MG,1 x 0,33,2013
Serie B,Paraná / PR,Palmeiras / SP,1 x 1,33,2013
Serie B,Atlético / GO,Ceará / CE,1 x 3,33,2013
Serie B,Guaratinguetá / SP,Chapecoense / SC,0 x 0,33,2013
Serie B,Sport / PE,São Caetano / SP,3 x 0,33,2013
Serie B,Boa / MG,Paraná / PR,3 x 2,34,2013
Serie B,Figueirense / SC,Guaratinguetá / SP,2 x 1,34,2013
Serie B,Chapecoense / SC,América / RN,0 x 0,34,2013
Serie B,Ceará / CE,Sport / PE,4 x 1,34,2013
