Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Caxias / RS,Vila Nova / GO,2 x 1,16,2013
Serie C,Baraúnas / RN,Luverdense / MT,0 x 1,17,2013,06/10/2013
Serie C,Aguia / PA,Treze / PB,5 x 2,17,2013
Serie C,Santa Cruz / PE,Brasiliense / DF,2 x 0,17,2013
Serie C,Cuiabá / MT,Fortaleza / CE,1 x 1,17,2013,06/10/2013
Serie C,Mogi Mirim / SP,Macae / RJ,1 x 2,17,2013,05/10/2013
Serie C, X Duque de Caxias / RJ,Duque de Caxias / RJ,0 x 0,17,2013,05/10/2013
Serie C,Madureira / RJ,Betim / MG,1 x 1,17,2013,05/10/2013
Serie C,Vila Nova / GO,Guarani / SP,1 x 0,17,2013,05/10/2013
Serie C,Caxias / RS,Grêmio Barueri / SP,1 x 1,17,2013,05/10/2013
Serie C,Fortaleza / CE,Sampaio Correa / MA,2 x 2,18,2013
Serie C,Luverdense / MT,Aguia / PA,3 x 0,18,2013
Serie C,Treze / PB,Santa Cruz / PE,1 x 0,18,2013
Serie C,Brasiliense / DF,Cuiabá / MT,1 x 2,18,2013
Serie C,Betim / MG,Mogi Mirim / SP,2 x 1,18,2013
Serie C,Grêmio Barueri / SP,Madureira / RJ,2 x 0,18,2013
Serie C,Macae / RJ,Vila Nova / GO,0 x 1,18,2013
Serie C,Duque de Caxias / RJ,Caxias / RS,1 x 0,18,2013
Serie C,Betim / MG,Santa Cruz / PE,0 x 1,19,2013
Serie C,Santa Cruz / PE,Betim / MG,2 x 1,19,2013
Serie C,Caxias / RS,Luverdense / MT,1 x 2,19,2013
Serie C,Luverdense / MT,Caxias / RS,2 x 0,19,2013
Serie C,Treze / PB,Vila Nova / GO,1 x 0,19,2013
Serie C,Vila Nova / GO,Treze / PB,2 x 0,19,2013
Serie C,Sampaio Correa / MA,Macae / RJ,5 x 3,19,2013
Serie C,Macae / RJ,Sampaio Correa / MA,1 x 1,19,2013
Serie C,Rio Branco / AC,Fortaleza / CE,0 x 2,20,2013,13/06/2013
Serie C,Luverdense / MT,Rio Branco / AC,4 x 0,20,2013,02/07/2013
Serie C,Rio Branco / AC,Baraúnas / RN,1 x 3,20,2013,06/07/2013
Serie C,Rio Branco / AC,Aguia / PA,1 x 2,20,2013
Serie C,Brasiliense / DF,Rio Branco / AC,1 x 0,20,2013,17/07/2013
Serie C,Rio Branco / AC,Sampaio Correa / MA,0 x 3,20,2013,21/07/2013
Serie C,Santa Cruz / PE,Rio Branco / AC,4 x 0,21,2013,31/07/2013
Serie C,Rio Branco / AC,Cuiabá / MT,0 x 2,21,2013,04/08/2013
Serie C,Treze / PB,Rio Branco / AC,3 x 0,21,2013
Serie C,Fortaleza / CE,Rio Branco / AC,6 x 0,21,2013,21/08/2013
Serie C,Rio Branco / AC,Treze / PB,1 x 2,21,2013,28/08/2013
Serie C,Baraúnas / RN,Rio Branco / AC,2 x 1,21,2013,01/09/2013
Serie C,Aguia / PA,Rio Branco / AC,1 x 0,21,2013
Serie C,Rio Branco / AC,Brasiliense / DF,1 x 2,21,2013,11/09/2013
Serie C,Rio Branco / AC,Luverdense / MT,1 x 0,21,2013,18/09/2013
Serie C, X Rio Branco / AC,Rio Branco / AC,2 x 0,22,2013,22/09/2013
Serie C,Cuiabá / MT,Rio Branco / AC,3 x 0,22,2013,25/09/2013
Serie C,Rio Branco / AC,Santa Cruz / PE,0 x 2,22,2013,03/10/2013
Serie C,Sampaio Correa / MA,Rio Branco / AC,2 x 1,22,2013
Serie C,Vila Nova / GO,Sampaio Correa / MA,0 x 0,22,2013
Serie C,Sampaio Correa / MA,Vila Nova / GO,2 x 1,22,2013
Serie C,Luverdense / MT,Santa Cruz / PE,0 x 2,22,2013
Serie C,Santa Cruz / PE,Luverdense / MT,2 x 1,22,2013
Serie C,Sampaio Correa / MA,Santa Cruz / PE,0 x 0,22,2013
Serie C,Santa Cruz / PE,Sampaio Correa / MA,2 x 1,22,2013,01/12/2013
Serie C,Botafogo / PB,Treze / PB,3 x 2,1,2014
Serie C,Paysandu / PA,Aguia / PA,2 x 0,1,2014
Serie C,Salgueiro / PE,Fortaleza / CE,0 x 1,1,2014
Serie C,Ser Caxias / RS,Juventude / RS,0 x 0,1,2014
Serie C,Madureira / RJ,Duque de Caxias / RJ,2 x 0,1,2014
Serie C,Mogi Mirim / SP,Guaratinguetá / SP,1 x 0,1,2014
Serie C,Tupi / MG,Macae / RJ,1 x 1,1,2014
Serie C,São Caetano / SP,Guarani / SP,1 x 0,1,2014
Serie C,Aguia / PA,Salgueiro / PE,3 x 0,2,2014
Serie C,Fortaleza / CE,Cuiabá / MT,2 x 1,2,2014
Serie C,Guarani / SP,Madureira / RJ,1 x 1,2,2014
Serie C,Juventude / RS,Tupi / MG,1 x 0,2,2014
Serie C,Macae / RJ,São Caetano / SP,1 x 0,2,2014
Serie C,Duque de Caxias / RJ,Mogi Mirim / SP,1 x 2,2,2014
Serie C,Guaratinguetá / SP,Ser Caxias / RS,2 x 2,2,2014
Serie C,Fortaleza / CE,Aguia / PA,1 x 0,3,2014
Serie C,Botafogo / PB,Salgueiro / PE,2 x 2,3,2014
